접수번호,접수일자,농장코드,농장명,구분,담당수의사,질병명,검사종류,결과,PDF_파일ID,파일명
25-07305_혈청,2025-08-04,DB1001,성진,직영,양승혁,PRRS,혈청,,1ze_l5yKuYYhRLNutO0fZLwJxm8GGmBDH,
25-07170_항원,2025-07-30,DB1001,성진,직영,양승혁,PRRS,항원,,1NVu01BMLHEWDtQEH95ryJn5lB6MIfzWV,
25-07170_혈청,2025-07-30,DB1001,성진,직영,양승혁,PRRS,혈청,,1BmJqoIgTj0L-7SJVuHcIVkKLl9Dtg_1Z,
25-07147_혈청,2025-07-30,DB1001,성진,직영,양승혁,PRRS,혈청,,1j-W3z9OW2MhUzmNk8D5ZBHrI_bEXwlT4,
25-07146_혈청,2025-07-30,DB1001,성진,직영,양승혁,PRRS,혈청,,1fn609mkGA0jG3BV0ZcvCbMXmeq54x0Sr,
25-07147_항원,2025-07-30,DB1001,성진,직영,양승혁,PRRS,항원,,1dJxpVE-xVN4ZaCyqIWZlQF8PGQ3Np35b,
25-07146_항원,2025-07-30,DB1001,성진,직영,양승혁,PRRS,항원,,1PJRXSbro3_pzZ08wWpb-8mVqORAcfYbK,
25-07098_혈청,2025-07-29,DB1001,성진,직영,양승혁,PRRS,혈청,,1q9il0OReo0nkVH8ohfsLwB7were67lhb,
25-07098_항원,2025-07-29,DB1001,성진,직영,양승혁,PRRS,항원,,1ejntwRU6ibtOj7hs6AZapaCJmTjgDcLO,
25-07066_항원,2025-07-28,DB1001,성진,직영,양승혁,PRRS,항원,,1wD39VpmhG-493QxXZPYhvo_-IbSPqzEQ,
25-07065_항원,2025-07-28,DB1001,성진,직영,양승혁,PRRS,항원,,1QiFnqW8rmsVvgNcQJLBTipB3ntXpgll3,
25-07064_항원,2025-07-28,DB1001,성진,직영,양승혁,PRRS,항원,,1WLNq4C_fmD6nDoz8LKGltx-g8fQ4eWMj,
25-07065_혈청,2025-07-28,DB1001,성진,직영,양승혁,PRRS,혈청,,1yaNaJ1B-SqeXj5SER-zGR-usk79GtESd,
25-06908_,2025-07-28,(세균) 25-06908 유진농장,(세균) 25-06908 유진농장,-,-,PRRS,,,1rFBqeFjw_ngAGCTf6SO8tavV0gsgP9sf,
25-07048_항원,2025-07-26,DB1001,성진,직영,양승혁,PRRS,항원,,1RG0a9hGbu8QWZOhhYt5Yz5F3-KzGQpuQ,
25-06908_항원,2025-07-25,DB1001,성진,직영,양승혁,PRRS,항원,,1cV07hevc8cCm9nK6WOkp2Ha7Z6koNruB,
25-07034_항원,2025-07-25,DB1001,성진,직영,양승혁,PRRS,항원,,1LYRrFmc4Nc6Dt3Ud0GhIkgRtHh_E_hBh,
25-06832_,2025-07-24,(세균) 25-06832 DB3023,(세균) 25-06832 DB3023,-,-,PRRS,,,1iFthb3leWc4ui8gERNG1wXw-l1sif0Xu,
25-06906_항원,2025-07-23,DB1001,성진,직영,양승혁,PRRS,항원,,1b_mF354TxeIXZuf7A4NCqXMtm4Lv2Jhy,
25-06907_항원,2025-07-23,DB1001,성진,직영,양승혁,PRRS,항원,,13ho9LMVFwx5kR7ebGqomPTCwoGIHUV2h,
25-06826_항원,2025-07-21,DB1001,성진,직영,양승혁,PRRS,항원,,1_a8r0MNL_Na2Td7t4cG0emh5cyf9ZyMS,
25-06833_항원,2025-07-21,DB1001,성진,직영,양승혁,PRRS,항원,,1tOMngu7UNm3gvw1x7UVVCf5LBBnMruyW,
25-06832_항원,2025-07-21,DB1001,성진,직영,양승혁,PRRS,항원,,1y7GuLkYr4_feGuxND89rYDCPAcD2ArW6,
25-06833_혈청,2025-07-21,DB1001,성진,직영,양승혁,PRRS,혈청,,1Jw7r5bA0wE9bvkqGuagtzD0aNJ1pBKER,
25-06753_항원,2025-07-17,DB1001,성진,직영,양승혁,PRRS,항원,,1cSHAtpkZM8mELcX7kuSb4tpQuB-xL_h7,
25-06753_혈청,2025-07-17,DB1001,성진,직영,양승혁,PRRS,혈청,,1u7KsRQu4tlfRL9STO6BSO9g9L1woC5XP,
25-06666_항원,2025-07-15,DB1001,성진,직영,양승혁,PRRS,항원,,1mYcBL6giVFqVFKvLZNOj0UL7R6349Rdk,
25-06650_항원,2025-07-14,DB1001,성진,직영,양승혁,PRRS,항원,,1BTtmMaIBN8GNsEDmHh6dK-fpzPCxbQ9R,
25-06649_항원,2025-07-14,DB1001,성진,직영,양승혁,PRRS,항원,,1hn4vA7RCw2fTgENd3Od4XQsBewlT_D9-,
25-06650_혈청,2025-07-14,DB1001,성진,직영,양승혁,PRRS,혈청,,1MUnUKM68KLnD3ic-Wk5Ylq3rL3p-wsBk,
25-06592_항원,2025-07-11,DB1001,성진,직영,양승혁,PRRS,항원,,14WpRzFVni1bzGvBu40TkROD_HzNTnw8T,
25-06592_혈청,2025-07-11,DB1001,성진,직영,양승혁,PRRS,혈청,,1Xxet2HrbSrsLOqnJS3T4qPGIcLQYn-qY,
25-06574_항원,2025-07-10,DB1001,성진,직영,양승혁,PRRS,항원,,124Fd3c2niZu8F25Sfk9Dr-jZsjxi2SO5,
25-06514_혈청,2025-07-10,DB1001,성진,직영,양승혁,PRRS,혈청,,17aUzRANJpPU2AVvWRxCt50gj9inIEx4V,
25-06514_항원,2025-07-10,DB1001,성진,직영,양승혁,PRRS,항원,,12OG9MgWv0SUtpEhpxM6cDtCXLyt8E5km,
25-06494_항원,2025-07-09,DB1001,성진,직영,양승혁,PRRS,항원,,1ieyyu5fjZnx9VSeguRJAZPIWBHsjtwhg,
25-06490_항원,2025-07-09,DB1001,성진,직영,양승혁,PRRS,항원,,1e-23ifOJHPdtov8AtOHsiIS8k-exPpO6,
25-06256_,2025-07-09,(qPCR) 25-06256 DB3025-PRRS(추가의뢰),(qPCR) 25-06256 DB3025-PRRS(추가의뢰),-,-,PRRS,,,1v91eGZG93jpSNJhtZn7LXCjtqmAMISJJ,
25-06494_혈청,2025-07-09,DB1001,성진,직영,양승혁,PRRS,혈청,,14jR3GkCtqtwZOViEhlkeo0hLet-O1lTT,
25-06422_항원,2025-07-05,DB1001,성진,직영,양승혁,PRRS,항원,,16Dslc10g03cJ_tQCzQuPBITkfc9RvM-P,
25-06358_혈청,2025-07-04,DB1001,성진,직영,양승혁,PRRS,혈청,,1rCjFJdSPYLnxd__VsFBiIRLF6uwlrxKS,
25-06357_혈청,2025-07-04,DB1001,성진,직영,양승혁,PRRS,혈청,,16nZeoTFPF7VxOySAPEJoPNIoyFc6nZlO,
25-06357_항원,2025-07-04,DB1001,성진,직영,양승혁,PRRS,항원,,1ES_TCICn61sWGOBghIMMk0EBIxI37auI,
25-06358_항원,2025-07-04,DB1001,성진,직영,양승혁,PRRS,항원,,1WNSVzARoMrUiYwaPe3red7PGLcirEDSl,
25-06200_,2025-07-04,DB1002,대덕,직영,박지형,PRRS,,,1aIjWBFTnL5bHEkAgr-k6cLy7VPL4_U7u,
25-06309_항원,2025-07-03,DB1001,성진,직영,양승혁,PRRS,항원,,1QpD0fmVj3nwglBDyQNMWZ4XmHbOaS1xx,
25-06309_혈청,2025-07-03,DB1001,성진,직영,양승혁,PRRS,혈청,,1TVA0s7aWboTwyBQhwGiyu2rEQd9GcBSK,
25-06256_혈청,2025-07-02,DB1001,성진,직영,양승혁,PRRS,혈청,,1LuWVAhSaF8F5Ej3OfCmPlOaghSimJwrq,
25-06255_혈청,2025-07-02,DB1001,성진,직영,양승혁,PRRS,혈청,,1xDB6QrS9QPucCdEFVyWhDy38i_57hrbq,
25-06256_항원,2025-07-02,DB1001,성진,직영,양승혁,PRRS,항원,,1iI9LSww1nWKPvuoANKJzp_2fIswqfT1_,
25-06255_항원,2025-07-02,DB1001,성진,직영,양승혁,PRRS,항원,,1ot530ZJtXmrwntOe_V5g_TFmAldeDZ87,
25-05875_,2025-06-27,DB1002,대덕,직영,박지형,PRRS,,,1_SEVfhmq91NNmp3q-uuVwrJiNT-6rUbU,
25-05831_,2025-06-25,(세균) 25-05831 DA2007,(세균) 25-05831 DA2007,-,-,PRRS,,,1DQaS6loK63-2vQ9T70FkB-Wo9Whk7pC7,
25-05875_항원,2025-06-24,DB1001,성진,직영,양승혁,PRRS,항원,,1nGLcnGx-jGdXJeVdKlw4YC253k6YPm0p,
25-05874_항원,2025-06-24,DB1001,성진,직영,양승혁,PRRS,항원,,1YKXp8RStTdXpS2jJclx7IW9omvRGsVi_,
25-05831_항원,2025-06-24,DB1001,성진,직영,양승혁,PRRS,항원,,1PrLOlifQ3P6NvyUROyMMFSV2uEnbm3Pd,
25-05849_항원,2025-06-23,DB1001,성진,직영,양승혁,PRRS,항원,,1ShkUOygeL35RbJyazVOwUIa1ylIYNGh1,
25-05848_혈청,2025-06-23,DB1001,성진,직영,양승혁,PRRS,혈청,,1-mwxxu2Y_Fvo1PnYwT44VrGoI6_LyY03,
25-05848_항원,2025-06-23,DB1001,성진,직영,양승혁,PRRS,항원,,19zuLKa4Tf7OUlgyuBwY5Y2rt5pKQ4YwE,
25-05762_항원,2025-06-19,DB1001,성진,직영,양승혁,PRRS,항원,,1BfSFYY3hdnmJmceZ4yNMjXuR1It-H_UL,
25-05724_항원,2025-06-19,DB1001,성진,직영,양승혁,PRRS,항원,,1Xym2C6fJuaizLSFltUd-TU0hhRi_-9n5,
25-05579_항원,2025-06-17,DB1001,성진,직영,양승혁,PRRS,항원,,1vjCFfeQXPrfvwj4fobT2tE3pQhmAmLVX,
25-05579_혈청,2025-06-17,DB1001,성진,직영,양승혁,PRRS,혈청,,1uYTnNPyns8Ggo99yJArRkScAKx_2n9lE,
25-05545_항원,2025-06-16,DB1001,성진,직영,양승혁,PRRS,항원,,1LHA8LXZm8Rl1G47qIhFM0_RESdY6qGoZ,
25-05554_항원,2025-06-16,DB1001,성진,직영,양승혁,PRRS,항원,,1YkPlSEQC_8xTiJSGNVRT9fTF_GQS5Fah,
25-05553_항원,2025-06-16,DB1001,성진,직영,양승혁,PRRS,항원,,1h5x3YWhDs1Ei55L9nrl5x4fsWRPe8jhf,
25-05553_혈청,2025-06-16,DB1001,성진,직영,양승혁,PRRS,혈청,,128TW3mWKr1ysUrzVnjetNR-bierV1-e7,
25-05269_,2025-06-13,DB3016,남도,협력,장석현,PRRS,,,1EDNmO4zq5G_6x_NNZS-m8OzOGTWaH1Au,
25-05316_,2025-06-13,(세균) 25-05316 DB3001,(세균) 25-05316 DB3001,-,-,PRRS,,,1MVL2S8xSUE_hAdi_iA7Lwy7Ti7E83oyY,
25-05413_항원,2025-06-12,DB1001,성진,직영,양승혁,PRRS,항원,,1UotklSE-FvaBjynxxQEpyzoDuItY6zI_,
25-05316_항원,2025-06-12,DB1001,성진,직영,양승혁,PRRS,항원,,1PTjCOpenE2tyf_pLu9tty-YJqqhRadrN,
25-05316_혈청,2025-06-12,DB1001,성진,직영,양승혁,PRRS,혈청,,11HW2s3REtPm_K9IKxPOLB9ALpbkZa7d2,
25-05269_항원,2025-06-10,DB1001,성진,직영,양승혁,PRRS,항원,,1QwqeXpMp1CjmC5m6p0qQPcSWwv6gD877,
25-05109_항원,2025-06-06,DB1001,성진,직영,양승혁,PRRS,항원,,1EjwOy4m__7VubVGrsY551B2JTT98LXY-,
25-05110_항원,2025-06-06,DB1001,성진,직영,양승혁,PRRS,항원,,1r1KvXNeAx5GyIAt3g0-WxFoBnt5sJj2u,
25-05108_항원,2025-06-06,DB1001,성진,직영,양승혁,PRRS,항원,,1bY6Ip7hg1lZZADuAnumzWtc93NmgDXWt,
25-05107_항원,2025-06-06,DB1001,성진,직영,양승혁,PRRS,항원,,1JwiANy1dq_92CD7lGVN8L7bQ468buaJ4,
25-05106_항원,2025-06-06,DB1001,성진,직영,양승혁,PRRS,항원,,1UAYKyh2AM0ItB77uPlNexiMdyR0jcon3,
25-05110_혈청,2025-06-05,DB1001,성진,직영,양승혁,PRRS,혈청,,1jb_1nMWSh5W5NlUK4GDkAL-qTZueYyw4,
